All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
F3,GPIO21,,GPIO21,EQEP1_B,MDRA,CANB_RX,GPIO21,EPWM11B,,SD1_C3,GPIO21,,EMIF1_BA1,,GPIO21,FSIRXF_D0,SPIC_SOMI,
F1,GPIO98,,GPIO98,,,EMIF2_A0,GPIO98,EQEP1_STROBE,,,GPIO98,,,,GPIO98,FSIRXH_D1,CLB_OUTPUTXBAR8,
G1,GPIO99,,GPIO99,,,EMIF2_A1,GPIO99,EQEP1_INDEX,,,GPIO99,,,,GPIO99,FSIRXH_CLK,,
G2,GPIO8,,GPIO8,EPWM5A,CANB_TX,ADCSOCAO,GPIO8,EQEP3_STROBE,SCIA_TX,,GPIO8,MCAN_TX,ESC_GPO0,,GPIO8,FSITXB_CLK,FSITXA_D1,FSIRXA_D0
G3,GPIO9,,GPIO9,EPWM5B,SCIB_TX,OUTPUTXBAR6,GPIO9,EQEP3_INDEX,SCIA_RX,,GPIO9,,ESC_GPO1,,GPIO9,FSIRXB_D0,FSITXA_D0,FSIRXA_CLK
H1,GPIO100,,GPIO100,,,EMIF2_A2,GPIO100,EQEP2_A,SPIC_SIMO,,GPIO100,,ESC_GPI0,,GPIO100,FSITXA_D0,,
H2,GPIO101,,GPIO101,,,EMIF2_A3,GPIO101,EQEP2_B,SPIC_SOMI,,GPIO101,,ESC_GPI1,,GPIO101,FSITXA_D1,,
H3,GPIO102,,GPIO102,,,EMIF2_A4,GPIO102,EQEP2_STROBE,SPIC_CLK,,GPIO102,,ESC_GPI2,,GPIO102,FSITXA_CLK,,
J1,GPIO103,,GPIO103,,,EMIF2_A5,GPIO103,EQEP2_INDEX,SPIC_STEn,,GPIO103,,ESC_GPI3,,GPIO103,FSIRXA_D0,,
J2,GPIO104,,GPIO104,I2CA_SDA,,EMIF2_A6,GPIO104,EQEP3_A,SCID_TX,,GPIO104,,ESC_GPI4,CM-I2CA_SDA,GPIO104,FSIRXA_D1,,
J4,GPIO22,,GPIO22,EQEP1_STROBE,MCLKXA,SCIB_TX,GPIO22,EPWM12A,SPIB_CLK,SD1_D4,GPIO22,MCAN_TX,EMIF1_RAS,,GPIO22,FSIRXF_D1,SPIC_CLK,
K4,GPIO23,,GPIO23,EQEP1_INDEX,MFSXA,SCIB_RX,GPIO23,EPWM12B,SPIB_STEn,SD1_C4,GPIO23,MCAN_RX,EMIF1_CAS,,GPIO23,FSIRXF_CLK,SPIC_STEn,
K3,GPIO24,,GPIO24,OUTPUTXBAR1,EQEP2_A,MDXB,GPIO24,,SPIB_SIMO,SD2_D1,GPIO24,PMBUSA_SCL,EMIF1_DQM0,,GPIO24,EPWM13A,,FSIRXG_D0
K2,GPIO25,,GPIO25,OUTPUTXBAR2,EQEP2_B,MDRB,GPIO25,,SPIB_SOMI,SD2_C1,GPIO25,PMBUSA_SDA,EMIF1_DQM1,,GPIO25,EPWM13B,FSITXA_D1,FSIRXG_D1
J3,GPIO105,,GPIO105,I2CA_SCL,,EMIF2_A7,GPIO105,EQEP3_B,SCID_RX,,GPIO105,,ESC_GPI5,CM-I2CA_SCL,GPIO105,FSIRXA_CLK,ENET_MDIO_CLK,
K1,GPIO26,,GPIO26,OUTPUTXBAR3,EQEP2_INDEX,MCLKXB,GPIO26,OUTPUTXBAR3,SPIB_CLK,SD2_D2,GPIO26,PMBUSA_ALERT,EMIF1_DQM2,ESC_MDIO_CLK,GPIO26,EPWM14A,FSITXA_D0,FSIRXG_CLK
L1,GPIO27,,GPIO27,OUTPUTXBAR4,EQEP2_STROBE,MFSXB,GPIO27,OUTPUTXBAR4,SPIB_STEn,SD2_C2,GPIO27,PMBUSA_CTL,EMIF1_DQM3,ESC_MDIO_DATA,GPIO27,EPWM14B,FSITXA_CLK,FSIRXH_D0
L2,GPIO106,,GPIO106,,,EMIF2_A8,GPIO106,EQEP3_STROBE,SCIC_TX,,GPIO106,,ESC_GPI6,,GPIO106,FSITXB_D0,ENET_MDIO_DATA,
L3,GPIO107,,GPIO107,,,EMIF2_A9,GPIO107,EQEP3_INDEX,SCIC_RX,,GPIO107,,ESC_GPI7,,GPIO107,FSITXB_D1,ENET_REVMII_MDIO_RST,
L4,GPIO108,,GPIO108,,,EMIF2_A10,GPIO108,,,,GPIO108,,ESC_GPI8,,GPIO108,FSITXB_CLK,ENET_MII_INTR,
N2,GPIO109,,GPIO109,,,EMIF2_A11,GPIO109,,,,GPIO109,,ESC_GPI9,,GPIO109,,ENET_MII_CRS,
M2,GPIO110,,GPIO110,,,EMIF2_WAIT,GPIO110,,,,GPIO110,,ESC_GPI10,,GPIO110,FSIRXB_D0,ENET_MII_COL,
M4,GPIO111,,GPIO111,,,EMIF2_BA0,GPIO111,,,,GPIO111,,ESC_GPI11,,GPIO111,FSIRXB_D1,ENET_MII_RX_CLK,
M3,GPIO112,,GPIO112,,,EMIF2_BA1,GPIO112,,,,GPIO112,,ESC_GPI12,,GPIO112,FSIRXB_CLK,ENET_MII_RX_DV,
N4,GPIO113,,GPIO113,,,EMIF2_CAS,GPIO113,,,,GPIO113,,ESC_GPI13,,GPIO113,,ENET_MII_RX_ERR,
N3,GPIO114,,GPIO114,,,EMIF2_RAS,GPIO114,,,,GPIO114,,ESC_GPI14,,GPIO114,,ENET_MII_RX_DATA0,
P1,VSSA,VSSA
P5,VSSA,VSSA
R5,VSSA,VSSA
V7,VSSA,VSSA
W1,VSSA,VSSA
U4,ADCIN15/CMPIN4N,ADCIN15/CMPIN4N
V2,ADCINB0/VDAC,ADCINB0/VDAC
W2,ADCINB1/DACOUTC,ADCINB1/DACOUTC
V3,ADCINB2/CMPIN3P,ADCINB2/CMPIN3P
W3,ADCINB3/CMPIN3N,ADCINB3/CMPIN3N
V4,ADCINB4,ADCINB4
W4,ADCINB5,ADCINB5
V6,VREFLOB,VREFLOB
W6,VREFLOD,VREFLOD
W5,VREFHIB,VREFHIB
P6,VDDA,VDDA
R6,VDDA,VDDA
V5,VREFHID,VREFHID
T5,ADCIND0/CMPIN7P,ADCIND0/CMPIN7P
U5,ADCIND1/CMPIN7N,ADCIND1/CMPIN7N
T6,ADCIND2/CMPIN8P,ADCIND2/CMPIN8P
U6,ADCIND3/CMPIN8N,ADCIND3/CMPIN8N
T7,ADCIND4,ADCIND4
U7,ADCIND5,ADCIND5
A1,VSS,VSS
A10,VSS,VSS
A19,VSS,VSS
E5,VSS,VSS
E6,VSS,VSS
E8,VSS,VSS
E12,VSS,VSS
E14,VSS,VSS
E15,VSS,VSS
F5,VSS,VSS
F6,VSS,VSS
F8,VSS,VSS
F12,VSS,VSS
F14,VSS,VSS
F15,VSS,VSS
G16,VSS,VSS
G17,VSS,VSS
H8,VSS,VSS
H9,VSS,VSS
H10,VSS,VSS
H11,VSS,VSS
H12,VSS,VSS
H14,VSS,VSS
H15,VSS,VSS
J5,VSS,VSS
J6,VSS,VSS
J8,VSS,VSS
J9,VSS,VSS
J10,VSS,VSS
J11,VSS,VSS
J12,VSS,VSS
K8,VSS,VSS
K9,VSS,VSS
K10,VSS,VSS
K11,VSS,VSS
K12,VSS,VSS
K14,VSS,VSS
K15,VSS,VSS
L5,VSS,VSS
L6,VSS,VSS
L8,VSS,VSS
L9,VSS,VSS
L10,VSS,VSS
L11,VSS,VSS
L12,VSS,VSS
L18,VSS,VSS
M8,VSS,VSS
M9,VSS,VSS
M10,VSS,VSS
M11,VSS,VSS
M12,VSS,VSS
M14,VSS,VSS
M15,VSS,VSS
N1,VSS,VSS
N5,VSS,VSS
N6,VSS,VSS
P7,VSS,VSS
P8,VSS,VSS
P11,VSS,VSS
P12,VSS,VSS
P14,VSS,VSS
P15,VSS,VSS
R7,VSS,VSS
R8,VSS,VSS
R14,VSS,VSS
R15,VSS,VSS
W7,VSS,VSS
W19,VSS,VSS
A9,VDDIO,VDDIO
A18,VDDIO,VDDIO
B1,VDDIO,VDDIO
E7,VDDIO,VDDIO
E10,VDDIO,VDDIO
E13,VDDIO,VDDIO
F7,VDDIO,VDDIO
F10,VDDIO,VDDIO
F13,VDDIO,VDDIO
G5,VDDIO,VDDIO
G6,VDDIO,VDDIO
H5,VDDIO,VDDIO
H6,VDDIO,VDDIO
L14,VDDIO,VDDIO
L15,VDDIO,VDDIO
M1,VDDIO,VDDIO
M5,VDDIO,VDDIO
M6,VDDIO,VDDIO
N14,VDDIO,VDDIO
N15,VDDIO,VDDIO
P9,VDDIO,VDDIO
R9,VDDIO,VDDIO
V19,VDDIO,VDDIO
W8,VDDIO,VDDIO
F4,VDDIO,VDDIO
G4,VDDIO,VDDIO
E9,VDD,VDD
E11,VDD,VDD
F9,VDD,VDD
F11,VDD,VDD
G14,VDD,VDD
G15,VDD,VDD
J14,VDD,VDD
J15,VDD,VDD
K5,VDD,VDD
K6,VDD,VDD
P10,VDD,VDD
P13,VDD,VDD
R10,VDD,VDD
R13,VDD,VDD
R11,VDD3VFL,VDD3VFL
R12,VDD3VFL,VDD3VFL
W12,FLT1,FLT1
V13,FLT2,FLT2
W13,TDI,TDI
W15,TDO,TDO
V14,TRSTn,TRSTn
W14,TMS,TMS
V15,TCK,TCK
U19,ERRORSTS,ERRORSTS
H16,VDDOSC,VDDOSC
H17,VDDOSC,VDDOSC
J19,X2,X2
H18,VSSOSC,VSSOSC
H19,VSSOSC,VSSOSC
G19,X1,X1
F19,XRSn,XRSn
E16,VDDIO,VDDIO
F16,VDDIO,VDDIO
P4,ADCINC5/CMPIN5N,ADCINC5/CMPIN5N
R4,ADCINC4/CMPIN5P,ADCINC4/CMPIN5P
P3,ADCINC3/CMPIN6N,ADCINC3/CMPIN6N
R3,ADCINC2/CMPIN6P,ADCINC2/CMPIN6P
P2,VREFLOC,VREFLOC
R2,VREFLOA,VREFLOA
R1,VREFHIC,VREFHIC
V1,VREFHIA,VREFHIA
T3,ADCINA5/CMPIN2N,ADCINA5/CMPIN2N
U3,ADCINA4/CMPIN2P,ADCINA4/CMPIN2P
T2,ADCINA3/CMPIN1N,ADCINA3/CMPIN1N
U2,ADCINA2/CMPIN1P,ADCINA2/CMPIN1P
T1,ADCINA1/DACOUTB,ADCINA1/DACOUTB
U1,ADCINA0/DACOUTA,ADCINA0/DACOUTA
T4,ADCIN14/CMPIN4P,ADCIN14/CMPIN4P
J18,NC,NC
H4,NC,NC

