All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
V18,GPIO134,,GPIO134,,,EMIF2_D4,GPIO134,,,SD2_D3,GPIO134,,ESC_GPO1,,GPIO134,,ESC_TX1_DATA2,
U17,GPIO41,,GPIO41,,EMIF1_A3,EMU1,GPIO41,,I2CB_SCL,,GPIO41,,ENET_REVMII_MDIO_RST,ENET_MII_COL,GPIO41,,ESC_I2C_SCL,
U18,GPIO135,,GPIO135,,,EMIF2_D3,GPIO135,,SCIA_TX,SD2_C3,GPIO135,,ESC_GPO2,,GPIO135,,ESC_TX1_DATA3,
T17,GPIO136,,GPIO136,,,EMIF2_D2,GPIO136,,SCIA_RX,SD2_D4,GPIO136,,ESC_GPO3,,GPIO136,,ESC_RX1_DV,
R16,GPIO48,,GPIO48,OUTPUTXBAR3,EMIF1_A8,,GPIO48,,SCIA_TX,SD1_D1,GPIO48,,,ENET_PPS1,GPIO48,,ESC_PHY_CLK,
T18,GPIO137,,GPIO137,EPWM13A,,EMIF2_D1,GPIO137,,SCIB_TX,SD2_C4,GPIO137,,ESC_GPO4,,GPIO137,,ESC_RX1_CLK,
T19,GPIO138,,GPIO138,EPWM13B,,EMIF2_D0,GPIO138,,SCIB_RX,,GPIO138,,ESC_GPO5,,GPIO138,,ESC_RX1_ERR,
R17,GPIO49,,GPIO49,OUTPUTXBAR4,EMIF1_A9,,GPIO49,,SCIA_RX,SD1_C1,GPIO49,EMIF1_A5,,ENET_MII_RX_CLK,GPIO49,SD2_D1,FSITXA_D0,
R18,GPIO50,,GPIO50,EQEP1_A,EMIF1_A10,,GPIO50,,SPIC_SIMO,SD1_D2,GPIO50,EMIF1_A6,,ENET_MII_RX_DV,GPIO50,SD2_D2,FSITXA_D1,
R19,GPIO51,,GPIO51,EQEP1_B,EMIF1_A11,,GPIO51,,SPIC_SOMI,SD1_C2,GPIO51,EMIF1_A7,,ENET_MII_RX_ERR,GPIO51,SD2_D3,FSITXA_CLK,
P16,GPIO52,,GPIO52,EQEP1_STROBE,EMIF1_A12,,GPIO52,,SPIC_CLK,SD1_D3,GPIO52,EMIF1_A8,,ENET_MII_RX_DATA0,GPIO52,SD2_D4,FSIRXA_D0,
P17,GPIO53,,GPIO53,EQEP1_INDEX,EMIF1_D31,EMIF2_D15,GPIO53,,SPIC_STEn,SD1_C3,GPIO53,EMIF1_A9,,ENET_MII_RX_DATA1,GPIO53,SD1_C1,FSIRXA_D1,
P18,GPIO54,,GPIO54,SPIA_SIMO,EMIF1_D30,EMIF2_D14,GPIO54,EQEP2_A,SCIB_TX,SD1_D4,GPIO54,EMIF1_A10,,ENET_MII_RX_DATA2,GPIO54,SD1_C2,FSIRXA_CLK,SSIA_TX
P19,GPIO55,,GPIO55,SPIA_SOMI,EMIF1_D29,EMIF2_D13,GPIO55,EQEP2_B,SCIB_RX,SD1_C4,GPIO55,EMIF1_D0,,ENET_MII_RX_DATA3,GPIO55,SD1_C3,FSITXB_D0,SSIA_RX
N16,GPIO56,,GPIO56,SPIA_CLK,EMIF1_D28,EMIF2_D12,GPIO56,EQEP2_STROBE,SCIC_TX,SD2_D1,GPIO56,EMIF1_D1,I2CA_SDA,ENET_MII_TX_EN,GPIO56,SD1_C4,FSITXB_CLK,SSIA_CLK
N18,GPIO57,,GPIO57,SPIA_STEn,EMIF1_D27,EMIF2_D11,GPIO57,EQEP2_INDEX,SCIC_RX,SD2_C1,GPIO57,EMIF1_D2,I2CA_SCL,ENET_MII_TX_ERR,GPIO57,,FSITXB_D1,SSIA_FSS
N17,GPIO58,,GPIO58,MCLKRA,EMIF1_D26,EMIF2_D10,GPIO58,OUTPUTXBAR1,SPIB_CLK,SD2_D2,GPIO58,EMIF1_D3,ESC_LED_LINK0_ACTIVE,ENET_MII_TX_CLK,GPIO58,SD2_C2,FSIRXB_D0,SPIA_SIMO
N19,GPIO139,,GPIO139,EPWM14A,,,GPIO139,,SCIC_RX,,GPIO139,,ESC_GPO6,,GPIO139,,ESC_RX1_DATA0,
M16,GPIO59,,GPIO59,MFSRA,EMIF1_D25,EMIF2_D9,GPIO59,OUTPUTXBAR2,SPIB_STEn,SD2_C2,GPIO59,EMIF1_D4,ESC_LED_LINK1_ACTIVE,ENET_MII_TX_DATA0,GPIO59,SD2_C3,FSIRXB_D1,SPIA_SOMI
M19,GPIO140,,GPIO140,EPWM14B,,,GPIO140,,SCIC_TX,,GPIO140,,ESC_GPO7,,GPIO140,,ESC_RX1_DATA1,
M17,GPIO60,,GPIO60,MCLKRB,EMIF1_D24,EMIF2_D8,GPIO60,OUTPUTXBAR3,SPIB_SIMO,SD2_D3,GPIO60,EMIF1_D5,ESC_LED_ERR,ENET_MII_TX_DATA1,GPIO60,SD2_C4,FSIRXB_CLK,SPIA_CLK
M18,GPIO141,,GPIO141,EPWM15A,,,GPIO141,,SCID_RX,,GPIO141,,ESC_GPO8,,GPIO141,,ESC_RX1_DATA2,
L19,GPIO142,,GPIO142,EPWM15B,,,GPIO142,,SCID_TX,,GPIO142,,ESC_GPO9,,GPIO142,,ESC_RX1_DATA3,
L16,GPIO61,,GPIO61,MFSRB,EMIF1_D23,EMIF2_D7,GPIO61,OUTPUTXBAR4,SPIB_SOMI,SD2_C3,GPIO61,EMIF1_D6,ESC_LED_RUN,ENET_MII_TX_DATA2,GPIO61,,CANA_RX,SPIA_STEn
J17,GPIO62,,GPIO62,SCIC_RX,EMIF1_D22,EMIF2_D6,GPIO62,EQEP3_A,CANA_RX,SD2_D4,GPIO62,EMIF1_D7,ESC_LED_STATE_RUN,ENET_MII_TX_DATA3,GPIO62,,CANA_TX,
J16,GPIO63,,GPIO63,SCIC_TX,EMIF1_D21,EMIF2_D5,GPIO63,EQEP3_B,CANA_TX,SD2_C4,GPIO63,SSIA_TX,,ENET_MII_RX_DATA0,GPIO63,SD1_D1,ESC_RX1_DATA0,SPIB_SIMO
L17,GPIO64,,GPIO64,,EMIF1_D20,EMIF2_D4,GPIO64,EQEP3_STROBE,SCIA_RX,,GPIO64,SSIA_RX,ENET_MII_RX_DV,ENET_MII_RX_DATA1,GPIO64,SD1_C1,ESC_RX1_DATA1,SPIB_SOMI
K16,GPIO65,,GPIO65,,EMIF1_D19,EMIF2_D3,GPIO65,EQEP3_INDEX,SCIA_TX,,GPIO65,SSIA_CLK,ENET_MII_RX_ERR,ENET_MII_RX_DATA2,GPIO65,SD1_D2,ESC_RX1_DATA2,SPIB_CLK
K17,GPIO66,,GPIO66,,EMIF1_D18,EMIF2_D2,GPIO66,,I2CB_SDA,,GPIO66,SSIA_FSS,ENET_MII_RX_DATA0,ENET_MII_RX_DATA3,GPIO66,SD1_C2,ESC_RX1_DATA3,SPIB_STEn
K18,GPIO44,,GPIO44,,EMIF1_A4,,GPIO44,,,,GPIO44,,,ENET_MII_TX_CLK,GPIO44,,ESC_TX1_CLK,
K19,GPIO45,,GPIO45,,EMIF1_A5,,GPIO45,,,,GPIO45,,,ENET_MII_TX_EN,GPIO45,,ESC_TX1_ENA,
F18,GPIO143,,GPIO143,EPWM16A,,,GPIO143,,,,GPIO143,,ESC_GPO10,,GPIO143,,ESC_LED_LINK0_ACTIVE,
G18,GPIO133,,GPIO133,,,,GPIO133,,,SD2_C2,GPIO133,,,,GPIO133,,,
F17,GPIO144,,GPIO144,EPWM16B,,,GPIO144,,,,GPIO144,,ESC_GPO11,,GPIO144,,ESC_LED_LINK1_ACTIVE,
E19,GPIO46,,GPIO46,,EMIF1_A6,,GPIO46,,SCID_RX,,GPIO46,,,ENET_MII_TX_ERR,GPIO46,,ESC_MDIO_CLK,
E18,GPIO47,,GPIO47,,EMIF1_A7,,GPIO47,,SCID_TX,,GPIO47,,,ENET_PPS0,GPIO47,,ESC_MDIO_DATA,
D19,GPIO42,,GPIO42,,,,GPIO42,,I2CA_SDA,,GPIO42,,ENET_MDIO_CLK,UARTA_TX,GPIO42,,,SCIA_TX
C19,GPIO43,,GPIO43,,,,GPIO43,,I2CA_SCL,,GPIO43,,ENET_MDIO_DATA,UARTA_RX,GPIO43,,,SCIA_RX
B19,GPIO67,,GPIO67,,EMIF1_D17,EMIF2_D1,GPIO67,,,,GPIO67,,ENET_MII_RX_CLK,ENET_REVMII_MDIO_RST,GPIO67,SD1_D3,,
E17,GPIO145,,GPIO145,EPWM1A,,,GPIO145,,,,GPIO145,,ESC_GPO12,,GPIO145,,ESC_LED_ERR,
C18,GPIO68,,GPIO68,,EMIF1_D16,EMIF2_D0,GPIO68,,,,GPIO68,,,ENET_MII_INTR,GPIO68,SD1_C3,ESC_PHY1_LINKSTATUS,
D18,GPIO146,,GPIO146,EPWM1B,,,GPIO146,,,,GPIO146,,ESC_GPO13,,GPIO146,,ESC_LED_RUN,
B18,GPIO69,,GPIO69,,EMIF1_D15,EMU0,GPIO69,,I2CB_SCL,,GPIO69,,ENET_MII_TX_EN,ENET_MII_RX_CLK,GPIO69,SD1_D4,ESC_RX1_CLK,SPIC_SIMO
A17,GPIO70,,GPIO70,,EMIF1_D14,EMU0,GPIO70,CANA_RX,SCIB_TX,,GPIO70,MCAN_RX,,ENET_MII_RX_DV,GPIO70,SD1_C4,ESC_RX1_DV,SPIC_SOMI
D17,GPIO147,,GPIO147,EPWM2A,,,GPIO147,,,,GPIO147,,ESC_GPO14,,GPIO147,,ESC_LED_STATE_RUN,
B17,GPIO71,,GPIO71,,EMIF1_D13,EMU1,GPIO71,CANA_TX,SCIB_RX,,GPIO71,MCAN_TX,ENET_MII_RX_DATA0,ENET_MII_RX_ERR,GPIO71,,ESC_RX1_ERR,SPIC_CLK
B16,GPIO72,,GPIO72,,EMIF1_D12,,GPIO72,CANB_TX,SCIC_TX,,GPIO72,,ENET_MII_RX_DATA1,ENET_MII_TX_DATA3,GPIO72,,ESC_TX1_DATA3,SPIC_STEn
A16,GPIO73,,GPIO73,,EMIF1_D11,XCLKOUT,GPIO73,CANB_RX,SCIC_RX,,GPIO73,,ENET_RMII_CLK,ENET_MII_TX_DATA2,GPIO73,SD2_D2,ESC_TX1_DATA2,
C17,GPIO74,,GPIO74,,EMIF1_D10,,GPIO74,,,,GPIO74,MCAN_TX,,ENET_MII_TX_DATA1,GPIO74,SD2_C2,ESC_TX1_DATA1,
D16,GPIO75,,GPIO75,,EMIF1_D9,,GPIO75,,,,GPIO75,MCAN_RX,,ENET_MII_TX_DATA0,GPIO75,SD2_D3,ESC_TX1_DATA0,
C16,GPIO76,,GPIO76,,EMIF1_D8,,GPIO76,,SCID_TX,,GPIO76,,ENET_MII_RX_ERR,,GPIO76,SD2_C3,ESC_PHY_RESETn,
A15,GPIO77,,GPIO77,,EMIF1_D7,,GPIO77,,SCID_RX,,GPIO77,,,,GPIO77,SD2_D4,ESC_RX0_CLK,
B15,GPIO78,,GPIO78,,EMIF1_D6,,GPIO78,,EQEP2_A,,GPIO78,,,,GPIO78,SD2_C4,ESC_RX0_DV,
C15,GPIO79,,GPIO79,,EMIF1_D5,,GPIO79,,EQEP2_B,,GPIO79,,,,GPIO79,SD2_D1,ESC_RX0_ERR,
D15,GPIO80,,GPIO80,,EMIF1_D4,,GPIO80,,EQEP2_STROBE,,GPIO80,,,,GPIO80,SD2_C1,ESC_RX0_DATA0,
A14,GPIO81,,GPIO81,,EMIF1_D3,,GPIO81,,EQEP2_INDEX,,GPIO81,,,,GPIO81,,ESC_RX0_DATA1,
B14,GPIO82,,GPIO82,,EMIF1_D2,,GPIO82,,,,GPIO82,,,,GPIO82,,ESC_RX0_DATA2,
